plan_id,period_end,business_unit_id,region,currency_code,budget_revenue_usd_m,budget_ebitda_usd_m,budget_da_usd_m,budget_tax_rate,budget_capex_usd_m,budget_change_nwc_usd_m,budget_fcf_usd_m,budget_version
BP_202410_BU02_EU,2024-10-31,BU02,Europe,USD,173.18,31.02,7.95,0.2584,10.44,32.04,-17.42,FY2024 Annual Budget
BP_202410_BU02_LATAM,2024-10-31,BU02,Latin America,USD,80.98,14.21,3.69,0.272,4.88,15.85,-9.38,FY2024 Annual Budget
BP_202410_BU02_NA,2024-10-31,BU02,North America,USD,260.46,47.33,11.95,0.2473,15.7,44.86,-21.98,FY2024 Annual Budget
BP_202410_BU03_APAC,2024-10-31,BU03,Asia Pacific,USD,103.43,26.74,6.32,0.2254,7.82,3.48,10.84,FY2024 Annual Budget
BP_202410_BU03_EU,2024-10-31,BU03,Europe,USD,123.18,30.12,7.78,0.2576,9.31,4.75,10.31,FY2024 Annual Budget
BP_202410_BU03_LATAM,2024-10-31,BU03,Latin America,USD,40.46,9.74,2.5,0.2715,3.06,1.59,3.12,FY2024 Annual Budget
BP_202410_BU03_NA,2024-10-31,BU03,North America,USD,234.12,58.89,14.71,0.2482,17.69,9.11,21.12,FY2024 Annual Budget
BP_202410_BU04_APAC,2024-10-31,BU04,Asia Pacific,USD,140.54,26.92,9.27,0.2261,12.64,30.56,-20.27,FY2024 Annual Budget
BP_202410_BU04_EU,2024-10-31,BU04,Europe,USD,163.01,29.33,12.11,0.2575,14.66,38.9,-28.66,FY2024 Annual Budget
BP_202410_BU04_LATAM,2024-10-31,BU04,Latin America,USD,58.19,10.16,3.86,0.2719,5.23,14.07,-10.85,FY2024 Annual Budget
BP_202410_BU04_NA,2024-10-31,BU04,North America,USD,209.72,38.25,14.2,0.2466,18.86,47.67,-34.21,FY2024 Annual Budget
BP_202410_BU05_APAC,2024-10-31,BU05,Asia Pacific,USD,123.02,42.69,3.94,0.2253,7.76,1.27,24.93,FY2024 Annual Budget
BP_202410_BU05_EU,2024-10-31,BU05,Europe,USD,78.65,26.03,2.58,0.2579,4.96,0.78,14.24,FY2024 Annual Budget
BP_202410_BU05_LATAM,2024-10-31,BU05,Latin America,USD,39.53,13.03,1.29,0.2712,2.49,0.45,6.91,FY2024 Annual Budget
BP_202410_BU05_NA,2024-10-31,BU05,North America,USD,157.17,52.19,5.16,0.2485,9.92,1.44,29.14,FY2024 Annual Budget
BP_202411_BU01_APAC,2024-11-30,BU01,Asia Pacific,USD,201.64,64.61,8.67,0.2254,14.47,11.25,26.28,FY2024 Annual Budget
BP_202411_BU01_EU,2024-11-30,BU01,Europe,USD,145.02,43.76,6.6,0.2575,8.95,7.56,17.68,FY2024 Annual Budget
BP_202411_BU01_LATAM,2024-11-30,BU01,Latin America,USD,65.22,19.68,2.89,0.2712,4.03,3.73,7.37,FY2024 Annual Budget
BP_202411_BU01_NA,2024-11-30,BU01,North America,USD,241.68,75.39,10.95,0.2483,14.92,10.92,33.55,FY2024 Annual Budget
BP_202411_BU02_APAC,2024-11-30,BU02,Asia Pacific,USD,178.27,35.58,7.15,0.2253,10.67,26.08,-7.58,FY2024 Annual Budget
BP_202411_BU02_EU,2024-11-30,BU02,Europe,USD,195.37,35.98,8.02,0.2584,11.69,26.9,-9.83,FY2024 Annual Budget
BP_202411_BU02_LATAM,2024-11-30,BU02,Latin America,USD,91.39,16.69,3.72,0.272,5.47,13.86,-6.17,FY2024 Annual Budget
BP_202411_BU02_NA,2024-11-30,BU02,North America,USD,293.88,55.38,12.05,0.2473,17.59,36.2,-9.13,FY2024 Annual Budget
BP_202411_BU03_APAC,2024-11-30,BU03,Asia Pacific,USD,103.99,26.86,6.36,0.2254,7.8,1.31,13.13,FY2024 Annual Budget
BP_202411_BU03_EU,2024-11-30,BU03,Europe,USD,123.78,30.38,7.84,0.2576,9.29,0.85,14.43,FY2024 Annual Budget
BP_202411_BU03_LATAM,2024-11-30,BU03,Latin America,USD,40.67,9.95,2.52,0.2715,3.05,0.42,4.46,FY2024 Annual Budget
BP_202411_BU03_NA,2024-11-30,BU03,North America,USD,235.29,58.71,14.82,0.2482,17.66,1.24,28.92,FY2024 Annual Budget
BP_202411_BU04_APAC,2024-11-30,BU04,Asia Pacific,USD,135.66,25.29,9.32,0.2261,12.11,-4.6,14.17,FY2024 Annual Budget
BP_202411_BU04_EU,2024-11-30,BU04,Europe,USD,157.26,28.3,12.17,0.2575,14.04,-6.33,16.44,FY2024 Annual Budget
BP_202411_BU04_LATAM,2024-11-30,BU04,Latin America,USD,56.16,9.95,3.87,0.2719,5.02,-2.22,5.5,FY2024 Annual Budget
BP_202411_BU04_NA,2024-11-30,BU04,North America,USD,202.36,37.1,14.27,0.2466,18.07,-7.57,20.97,FY2024 Annual Budget
BP_202411_BU05_APAC,2024-11-30,BU05,Asia Pacific,USD,129.57,45.15,4.02,0.2253,6.79,8.86,20.23,FY2024 Annual Budget
BP_202411_BU05_EU,2024-11-30,BU05,Europe,USD,82.8,27.21,2.63,0.2579,4.34,5.44,11.09,FY2024 Annual Budget
BP_202411_BU05_LATAM,2024-11-30,BU05,Latin America,USD,41.63,13.91,1.31,0.2712,2.18,3.18,5.13,FY2024 Annual Budget
BP_202411_BU05_NA,2024-11-30,BU05,North America,USD,165.48,54.57,5.26,0.2485,8.67,9.61,24.04,FY2024 Annual Budget
BP_202412_BU01_APAC,2024-12-31,BU01,Asia Pacific,USD,212.82,67.77,8.67,0.2254,15.36,4.15,34.94,FY2024 Annual Budget
BP_202412_BU01_EU,2024-12-31,BU01,Europe,USD,152.56,46.94,6.57,0.2575,9.49,2.45,24.6,FY2024 Annual Budget
BP_202412_BU01_LATAM,2024-12-31,BU01,Latin America,USD,68.63,21.01,2.88,0.2712,4.27,1.21,10.61,FY2024 Annual Budget
BP_202412_BU01_NA,2024-12-31,BU01,North America,USD,254.28,80.22,10.91,0.2483,15.81,3.58,43.62,FY2024 Annual Budget
BP_202412_BU02_APAC,2024-12-31,BU02,Asia Pacific,USD,181.86,36.47,7.21,0.2253,10.96,29.61,-10.69,FY2024 Annual Budget
BP_202412_BU02_EU,2024-12-31,BU02,Europe,USD,199.19,37.78,8.09,0.2584,12.01,35.4,-17.3,FY2024 Annual Budget
BP_202412_BU02_LATAM,2024-12-31,BU02,Latin America,USD,93.22,17.11,3.75,0.272,5.62,17.32,-9.46,FY2024 Annual Budget
BP_202412_BU02_NA,2024-12-31,BU02,North America,USD,299.68,57.31,12.16,0.2473,18.06,49.69,-21.61,FY2024 Annual Budget
BP_202412_BU03_APAC,2024-12-31,BU03,Asia Pacific,USD,103.52,26.86,6.41,0.2254,7.82,1.2,13.23,FY2024 Annual Budget
BP_202412_BU03_EU,2024-12-31,BU03,Europe,USD,123.15,30.16,7.89,0.2576,9.31,2.03,13.08,FY2024 Annual Budget
BP_202412_BU03_LATAM,2024-12-31,BU03,Latin America,USD,40.48,9.76,2.54,0.2715,3.06,0.64,4.1,FY2024 Annual Budget
BP_202412_BU03_NA,2024-12-31,BU03,North America,USD,234.13,57.71,14.92,0.2482,17.7,4.2,25.19,FY2024 Annual Budget
BP_202412_BU04_APAC,2024-12-31,BU04,Asia Pacific,USD,126.7,23.62,9.36,0.2261,11.39,2.47,6.54,FY2024 Annual Budget
BP_202412_BU04_EU,2024-12-31,BU04,Europe,USD,146.79,25.96,12.22,0.2575,13.2,5.99,3.23,FY2024 Annual Budget
BP_202412_BU04_LATAM,2024-12-31,BU04,Latin America,USD,52.44,9.17,3.89,0.2719,4.72,1.94,1.07,FY2024 Annual Budget
BP_202412_BU04_NA,2024-12-31,BU04,North America,USD,194.685,33.83,14.34,0.2466,16.99,7.17,4.86,FY2024 Annual Budget
BP_202412_BU05_APAC,2024-12-31,BU05,Asia Pacific,USD,133.85,46.76,4.09,0.2253,6.69,1.37,29.09,FY2024 Annual Budget
BP_202412_BU05_EU,2024-12-31,BU05,Europe,USD,85.49,28.18,2.67,0.2579,4.27,0.86,16.47,FY2024 Annual Budget
BP_202412_BU05_LATAM,2024-12-31,BU05,Latin America,USD,43.0,13.99,1.34,0.2712,2.15,0.5,7.91,FY2024 Annual Budget
BP_202412_BU05_NA,2024-12-31,BU05,North America,USD,170.89,56.77,5.35,0.2485,8.54,1.57,33.88,FY2024 Annual Budget
BP_202501_BU01_APAC,2025-01-31,BU01,Asia Pacific,USD,203.75,65.51,8.76,0.2259,14.95,-16.94,54.68,FY2025 Annual Budget
BP_202501_BU01_EU,2025-01-31,BU01,Europe,USD,143.96,43.89,6.57,0.2565,9.12,-4.57,29.77,FY2025 Annual Budget
BP_202501_BU01_LATAM,2025-01-31,BU01,Latin America,USD,63.54,18.82,2.88,0.2727,4.03,-3.77,14.21,FY2025 Annual Budget
BP_202501_BU01_NA,2025-01-31,BU01,North America,USD,239.1,73.6,10.91,0.2463,15.15,-8.56,51.57,FY2025 Annual Budget
BP_202501_BU02_APAC,2025-01-31,BU02,Asia Pacific,USD,118.01,21.1,7.29,0.2256,7.25,-59.73,70.46,FY2025 Annual Budget
BP_202501_BU02_EU,2025-01-31,BU02,Europe,USD,123.96,21.0,8.14,0.2586,7.61,-44.93,54.99,FY2025 Annual Budget
BP_202501_BU02_LATAM,2025-01-31,BU02,Latin America,USD,58.84,9.53,3.77,0.271,3.61,-32.38,36.74,FY2025 Annual Budget
BP_202501_BU02_NA,2025-01-31,BU02,North America,USD,190.99,33.11,12.25,0.2476,11.73,-64.59,80.81,FY2025 Annual Budget
BP_202501_BU03_APAC,2025-01-31,BU03,Asia Pacific,USD,104.27,26.66,6.46,0.2262,8.03,-0.75,14.81,FY2025 Annual Budget
BP_202501_BU03_EU,2025-01-31,BU03,Europe,USD,123.67,30.74,7.96,0.2575,9.53,-3.89,19.23,FY2025 Annual Budget
BP_202501_BU03_LATAM,2025-01-31,BU03,Latin America,USD,40.84,9.73,2.56,0.2719,3.15,-0.47,5.1,FY2025 Annual Budget
BP_202501_BU03_NA,2025-01-31,BU03,North America,USD,233.08,57.68,15.03,0.2484,17.95,-4.53,33.67,FY2025 Annual Budget
BP_202501_BU04_APAC,2025-01-31,BU04,Asia Pacific,USD,124.87,24.68,9.41,0.2257,11.44,-26.86,36.65,FY2025 Annual Budget
BP_202501_BU04_EU,2025-01-31,BU04,Europe,USD,141.53,25.47,12.26,0.2575,12.97,-36.86,45.96,FY2025 Annual Budget
BP_202501_BU04_LATAM,2025-01-31,BU04,Latin America,USD,50.93,9.26,3.91,0.2722,4.67,-10.55,13.68,FY2025 Annual Budget
BP_202501_BU04_NA,2025-01-31,BU04,North America,USD,187.01,35.37,14.42,0.2473,17.14,-42.24,55.29,FY2025 Annual Budget
BP_202501_BU05_APAC,2025-01-31,BU05,Asia Pacific,USD,115.33,38.88,4.16,0.226,5.85,-14.3,39.48,FY2025 Annual Budget
BP_202501_BU05_EU,2025-01-31,BU05,Europe,USD,73.52,24.25,2.71,0.2578,3.73,-6.84,21.81,FY2025 Annual Budget
BP_202501_BU05_LATAM,2025-01-31,BU05,Latin America,USD,38.39,12.22,1.37,0.2723,1.95,-5.47,12.79,FY2025 Annual Budget
BP_202501_BU05_NA,2025-01-31,BU05,North America,USD,150.58,49.01,5.46,0.2486,7.63,-16.5,47.05,FY2025 Annual Budget
BP_202502_BU01_APAC,2025-02-28,BU01,Asia Pacific,USD,207.37,65.19,8.76,0.2259,15.55,17.58,19.31,FY2025 Annual Budget
BP_202502_BU01_EU,2025-02-28,BU01,Europe,USD,145.94,44.68,6.55,0.2565,9.49,12.46,12.95,FY2025 Annual Budget
BP_202502_BU01_LATAM,2025-02-28,BU01,Latin America,USD,64.43,18.98,2.87,0.2727,4.19,5.89,4.51,FY2025 Annual Budget
BP_202502_BU01_NA,2025-02-28,BU01,North America,USD,242.42,74.86,10.87,0.2463,15.76,18.08,25.26,FY2025 Annual Budget
BP_202502_BU02_APAC,2025-02-28,BU02,Asia Pacific,USD,120.02,21.99,7.33,0.2256,7.56,-36.62,47.74,FY2025 Annual Budget
BP_202502_BU02_EU,2025-02-28,BU02,Europe,USD,126.0,21.78,8.18,0.2586,7.94,-41.98,52.3,FY2025 Annual Budget
BP_202502_BU02_LATAM,2025-02-28,BU02,Latin America,USD,59.84,10.13,3.8,0.271,3.77,-20.21,24.85,FY2025 Annual Budget
BP_202502_BU02_NA,2025-02-28,BU02,North America,USD,194.17,34.35,12.32,0.2476,12.23,-62.8,79.47,FY2025 Annual Budget
BP_202502_BU03_APAC,2025-02-28,BU03,Asia Pacific,USD,104.86,27.18,6.51,0.2262,8.28,4.94,9.28,FY2025 Annual Budget
BP_202502_BU03_EU,2025-02-28,BU03,Europe,USD,124.31,30.26,8.02,0.2575,9.82,9.31,5.4,FY2025 Annual Budget
BP_202502_BU03_LATAM,2025-02-28,BU03,Latin America,USD,41.07,9.89,2.58,0.2719,3.24,1.47,3.19,FY2025 Annual Budget
BP_202502_BU03_NA,2025-02-28,BU03,North America,USD,234.32,58.65,15.14,0.2484,18.51,12.87,16.46,FY2025 Annual Budget
BP_202502_BU04_APAC,2025-02-28,BU04,Asia Pacific,USD,129.36,26.09,9.46,0.2257,12.16,-17.13,27.31,FY2025 Annual Budget
BP_202502_BU04_EU,2025-02-28,BU04,Europe,USD,146.53,27.63,12.32,0.2575,13.77,-18.24,28.16,FY2025 Annual Budget
BP_202502_BU04_LATAM,2025-02-28,BU04,Latin America,USD,52.75,9.81,3.93,0.2722,4.96,-10.95,14.2,FY2025 Annual Budget
BP_202502_BU04_NA,2025-02-28,BU04,North America,USD,193.65,37.61,14.49,0.2473,18.2,-23.52,37.21,FY2025 Annual Budget
BP_202502_BU05_APAC,2025-02-28,BU05,Asia Pacific,USD,118.06,39.76,4.22,0.226,6.14,9.33,16.26,FY2025 Annual Budget
BP_202502_BU05_EU,2025-02-28,BU05,Europe,USD,75.22,24.76,2.75,0.2578,3.91,5.6,9.58,FY2025 Annual Budget
BP_202502_BU05_LATAM,2025-02-28,BU05,Latin America,USD,39.29,12.54,1.39,0.2723,2.04,3.24,4.22,FY2025 Annual Budget
BP_202502_BU05_NA,2025-02-28,BU05,North America,USD,154.09,50.53,5.54,0.2486,8.01,9.73,21.61,FY2025 Annual Budget
BP_202503_BU01_APAC,2025-03-31,BU01,Asia Pacific,USD,224.24,71.7,8.78,0.2259,17.18,-3.08,43.39,FY2025 Annual Budget
BP_202503_BU01_EU,2025-03-31,BU01,Europe,USD,157.19,48.23,6.53,0.2565,10.47,-2.28,29.34,FY2025 Annual Budget
BP_202503_BU01_LATAM,2025-03-31,BU01,Latin America,USD,69.43,20.97,2.86,0.2727,4.63,-0.96,12.36,FY2025 Annual Budget
BP_202503_BU01_NA,2025-03-31,BU01,North America,USD,261.15,81.63,10.84,0.2463,17.4,-2.83,49.62,FY2025 Annual Budget
BP_202503_BU02_APAC,2025-03-31,BU02,Asia Pacific,USD,133.81,25.92,7.38,0.2256,8.64,-3.96,17.06,FY2025 Annual Budget
BP_202503_BU02_EU,2025-03-31,BU02,Europe,USD,140.4,25.55,8.23,0.2586,9.07,-1.9,13.9,FY2025 Annual Budget
BP_202503_BU02_LATAM,2025-03-31,BU02,Latin America,USD,66.7,11.69,3.82,0.271,4.31,-1.01,6.26,FY2025 Annual Budget
BP_202503_BU02_NA,2025-03-31,BU02,North America,USD,216.39,40.45,12.4,0.2476,13.97,-3.01,22.54,FY2025 Annual Budget
BP_202503_BU03_APAC,2025-03-31,BU03,Asia Pacific,USD,108.66,28.06,6.56,0.2262,8.8,5.89,8.51,FY2025 Annual Budget
BP_202503_BU03_EU,2025-03-31,BU03,Europe,USD,128.74,32.05,8.08,0.2575,10.42,9.11,6.35,FY2025 Annual Budget
BP_202503_BU03_LATAM,2025-03-31,BU03,Latin America,USD,42.55,10.43,2.6,0.2719,3.45,3.07,1.78,FY2025 Annual Budget
BP_202503_BU03_NA,2025-03-31,BU03,North America,USD,242.71,61.43,15.26,0.2484,19.65,16.38,13.93,FY2025 Annual Budget
BP_202503_BU04_APAC,2025-03-31,BU04,Asia Pacific,USD,140.77,29.67,9.51,0.2257,13.56,31.13,-19.57,FY2025 Annual Budget
BP_202503_BU04_EU,2025-03-31,BU04,Europe,USD,159.37,30.38,12.37,0.2575,15.36,38.23,-27.85,FY2025 Annual Budget
BP_202503_BU04_LATAM,2025-03-31,BU04,Latin America,USD,57.39,11.01,3.95,0.2722,5.53,13.95,-10.39,FY2025 Annual Budget
BP_202503_BU04_NA,2025-03-31,BU04,North America,USD,210.65,43.15,14.56,0.2473,20.3,48.03,-32.25,FY2025 Annual Budget
BP_202503_BU05_APAC,2025-03-31,BU05,Asia Pacific,USD,127.21,42.79,4.29,0.226,6.81,-3.37,30.65,FY2025 Annual Budget
BP_202503_BU05_EU,2025-03-31,BU05,Europe,USD,81.01,26.46,2.8,0.2578,4.34,-2.36,18.38,FY2025 Annual Budget
BP_202503_BU05_LATAM,2025-03-31,BU05,Latin America,USD,42.33,13.81,1.42,0.2723,2.27,-1.61,9.78,FY2025 Annual Budget
BP_202503_BU05_NA,2025-03-31,BU05,North America,USD,165.96,55.39,5.63,0.2486,8.89,-3.7,37.83,FY2025 Annual Budget
BP_202504_BU01_APAC,2025-04-30,BU01,Asia Pacific,USD,221.5,71.19,8.8,0.2259,17.24,6.34,33.52,FY2025 Annual Budget
BP_202504_BU01_EU,2025-04-30,BU01,Europe,USD,154.67,47.09,6.52,0.2565,10.49,3.85,22.34,FY2025 Annual Budget
BP_202504_BU01_LATAM,2025-04-30,BU01,Latin America,USD,68.33,20.36,2.86,0.2727,4.63,1.83,9.13,FY2025 Annual Budget
BP_202504_BU01_NA,2025-04-30,BU01,North America,USD,256.99,80.34,10.83,0.2463,17.43,5.47,40.32,FY2025 Annual Budget
BP_202504_BU02_APAC,2025-04-30,BU02,Asia Pacific,USD,134.43,26.27,7.43,0.2256,8.84,-8.5,21.68,FY2025 Annual Budget
BP_202504_BU02_EU,2025-04-30,BU02,Europe,USD,140.97,25.8,8.29,0.2586,9.27,-9.13,21.13,FY2025 Annual Budget
BP_202504_BU02_LATAM,2025-04-30,BU02,Latin America,USD,67.0,11.88,3.85,0.271,4.4,-3.86,9.16,FY2025 Annual Budget
BP_202504_BU02_NA,2025-04-30,BU02,North America,USD,217.31,40.1,12.49,0.2476,14.28,-16.05,35.03,FY2025 Annual Budget
BP_202504_BU03_APAC,2025-04-30,BU03,Asia Pacific,USD,107.14,27.91,6.61,0.2262,8.83,-2.21,16.47,FY2025 Annual Budget
BP_202504_BU03_EU,2025-04-30,BU03,Europe,USD,126.87,31.7,8.14,0.2575,10.46,-3.19,18.36,FY2025 Annual Budget
BP_202504_BU03_LATAM,2025-04-30,BU03,Latin America,USD,41.94,10.23,2.62,0.2719,3.46,-0.95,5.65,FY2025 Annual Budget
BP_202504_BU03_NA,2025-04-30,BU03,North America,USD,239.22,61.09,15.37,0.2484,19.72,-6.88,36.89,FY2025 Annual Budget
BP_202504_BU04_APAC,2025-04-30,BU04,Asia Pacific,USD,142.56,30.37,9.56,0.2257,13.98,1.68,10.01,FY2025 Annual Budget
BP_202504_BU04_EU,2025-04-30,BU04,Europe,USD,161.3,31.84,12.43,0.2575,15.82,0.69,10.33,FY2025 Annual Budget
BP_202504_BU04_LATAM,2025-04-30,BU04,Latin America,USD,58.11,11.41,3.97,0.2722,5.7,0.21,3.47,FY2025 Annual Budget
BP_202504_BU04_NA,2025-04-30,BU04,North America,USD,213.24,44.07,14.64,0.2473,20.91,-2.59,18.51,FY2025 Annual Budget
BP_202504_BU05_APAC,2025-04-30,BU05,Asia Pacific,USD,126.26,41.75,4.37,0.226,7.23,3.92,22.15,FY2025 Annual Budget
BP_202504_BU05_EU,2025-04-30,BU05,Europe,USD,80.37,26.17,2.84,0.2578,4.6,2.43,13.13,FY2025 Annual Budget
BP_202504_BU05_LATAM,2025-04-30,BU05,Latin America,USD,42.01,13.41,1.44,0.2723,2.4,1.44,6.31,FY2025 Annual Budget
BP_202504_BU05_NA,2025-04-30,BU05,North America,USD,164.67,54.38,5.72,0.2486,9.42,4.44,28.42,FY2025 Annual Budget
BP_202505_BU01_APAC,2025-05-31,BU01,Asia Pacific,USD,225.43,72.2,8.83,0.2259,17.64,-2.66,42.9,FY2025 Annual Budget
BP_202505_BU01_EU,2025-05-31,BU01,Europe,USD,156.79,47.8,6.52,0.2565,10.7,-2.53,29.04,FY2025 Annual Budget
BP_202505_BU01_LATAM,2025-05-31,BU01,Latin America,USD,69.3,20.83,2.86,0.2727,4.73,-1.16,12.36,FY2025 Annual Budget
BP_202505_BU01_NA,2025-05-31,BU01,North America,USD,260.56,81.25,10.82,0.2463,17.78,-3.47,49.59,FY2025 Annual Budget
BP_202505_BU02_APAC,2025-05-31,BU02,Asia Pacific,USD,142.47,28.56,7.49,0.2256,9.42,10.01,4.38,FY2025 Annual Budget
BP_202505_BU02_EU,2025-05-31,BU02,Europe,USD,149.32,27.64,8.34,0.2586,9.88,10.66,2.11,FY2025 Annual Budget
BP_202505_BU02_LATAM,2025-05-31,BU02,Latin America,USD,71.0,12.94,3.87,0.271,4.7,5.38,0.4,FY2025 Annual Budget
BP_202505_BU02_NA,2025-05-31,BU02,North America,USD,230.22,43.18,12.57,0.2476,15.23,15.53,4.84,FY2025 Annual Budget
BP_202505_BU03_APAC,2025-05-31,BU03,Asia Pacific,USD,106.68,27.31,6.66,0.2262,8.85,-1.03,14.82,FY2025 Annual Budget
BP_202505_BU03_EU,2025-05-31,BU03,Europe,USD,126.26,31.03,8.2,0.2575,10.47,-0.67,15.35,FY2025 Annual Budget
BP_202505_BU03_LATAM,2025-05-31,BU03,Latin America,USD,41.76,10.09,2.64,0.2719,3.46,-0.31,4.91,FY2025 Annual Budget
BP_202505_BU03_NA,2025-05-31,BU03,North America,USD,238.1,59.37,15.49,0.2484,19.75,-0.72,29.44,FY2025 Annual Budget
BP_202505_BU04_APAC,2025-05-31,BU04,Asia Pacific,USD,144.35,30.76,9.61,0.2257,14.25,18.21,-6.47,FY2025 Annual Budget
BP_202505_BU04_EU,2025-05-31,BU04,Europe,USD,163.24,32.18,12.49,0.2575,16.11,22.7,-11.7,FY2025 Annual Budget
BP_202505_BU04_LATAM,2025-05-31,BU04,Latin America,USD,58.84,11.75,3.99,0.2722,5.81,8.25,-4.42,FY2025 Annual Budget
BP_202505_BU04_NA,2025-05-31,BU04,North America,USD,215.84,44.99,14.72,0.2473,21.3,28.59,-12.39,FY2025 Annual Budget
BP_202505_BU05_APAC,2025-05-31,BU05,Asia Pacific,USD,129.18,42.39,4.45,0.226,8.78,-0.97,26.01,FY2025 Annual Budget
BP_202505_BU05_EU,2025-05-31,BU05,Europe,USD,82.18,26.53,2.9,0.2578,5.58,-0.65,15.51,FY2025 Annual Budget
BP_202505_BU05_LATAM,2025-05-31,BU05,Latin America,USD,42.98,13.83,1.47,0.2723,2.92,-0.35,7.89,FY2025 Annual Budget
BP_202505_BU05_NA,2025-05-31,BU05,North America,USD,168.42,55.19,5.83,0.2486,11.44,-1.13,32.61,FY2025 Annual Budget
BP_202506_BU01_APAC,2025-06-30,BU01,Asia Pacific,USD,238.7,77.34,8.87,0.2259,18.57,16.9,26.4,FY2025 Annual Budget
BP_202506_BU01_EU,2025-06-30,BU01,Europe,USD,165.37,49.67,6.52,0.2565,11.21,11.0,16.39,FY2025 Annual Budget
BP_202506_BU01_LATAM,2025-06-30,BU01,Latin America,USD,73.12,22.12,2.86,0.2727,4.96,5.23,6.68,FY2025 Annual Budget
BP_202506_BU01_NA,2025-06-30,BU01,North America,USD,274.85,87.41,10.82,0.2463,18.64,15.32,34.59,FY2025 Annual Budget
BP_202506_BU02_APAC,2025-06-30,BU02,Asia Pacific,USD,146.11,29.57,7.54,0.2256,9.6,7.28,7.72,FY2025 Annual Budget
BP_202506_BU02_EU,2025-06-30,BU02,Europe,USD,153.06,29.3,8.4,0.2586,10.06,6.67,7.17,FY2025 Annual Budget
BP_202506_BU02_LATAM,2025-06-30,BU02,Latin America,USD,72.8,13.79,3.9,0.271,4.78,3.6,2.73,FY2025 Annual Budget
BP_202506_BU02_NA,2025-06-30,BU02,North America,USD,236.01,44.92,12.67,0.2476,15.51,9.23,12.19,FY2025 Annual Budget
BP_202506_BU03_APAC,2025-06-30,BU03,Asia Pacific,USD,108.37,27.9,6.71,0.2262,8.93,-0.78,14.96,FY2025 Annual Budget
BP_202506_BU03_EU,2025-06-30,BU03,Europe,USD,128.19,31.99,8.26,0.2575,10.57,-2.0,17.31,FY2025 Annual Budget
BP_202506_BU03_LATAM,2025-06-30,BU03,Latin America,USD,42.41,10.32,2.66,0.2719,3.5,-0.54,5.28,FY2025 Annual Budget
BP_202506_BU03_NA,2025-06-30,BU03,North America,USD,241.79,60.87,15.61,0.2484,19.93,-3.96,33.66,FY2025 Annual Budget
BP_202506_BU04_APAC,2025-06-30,BU04,Asia Pacific,USD,146.16,30.98,9.66,0.2257,14.33,-3.76,15.6,FY2025 Annual Budget
BP_202506_BU04_EU,2025-06-30,BU04,Europe,USD,165.19,32.89,12.55,0.2575,16.2,-6.34,17.79,FY2025 Annual Budget
BP_202506_BU04_LATAM,2025-06-30,BU04,Latin America,USD,59.56,11.8,4.02,0.2722,5.84,-2.07,5.91,FY2025 Annual Budget
BP_202506_BU04_NA,2025-06-30,BU04,North America,USD,218.45,45.48,14.8,0.2473,21.42,-7.98,24.45,FY2025 Annual Budget
BP_202506_BU05_APAC,2025-06-30,BU05,Asia Pacific,USD,136.12,44.37,4.55,0.226,10.41,9.0,15.96,FY2025 Annual Budget
BP_202506_BU05_EU,2025-06-30,BU05,Europe,USD,86.56,27.32,2.96,0.2578,6.62,5.57,8.85,FY2025 Annual Budget
BP_202506_BU05_LATAM,2025-06-30,BU05,Latin America,USD,45.28,14.44,1.5,0.2723,3.46,3.33,4.13,FY2025 Annual Budget
BP_202506_BU05_NA,2025-06-30,BU05,North America,USD,177.41,56.37,5.96,0.2486,13.57,10.0,20.27,FY2025 Annual Budget
BP_202507_BU01_APAC,2025-07-31,BU01,Asia Pacific,USD,226.43,72.29,8.97,0.2259,17.35,-13.21,53.85,FY2025 Annual Budget
BP_202507_BU01_EU,2025-07-31,BU01,Europe,USD,156.25,46.87,6.57,0.2565,10.41,-9.69,35.81,FY2025 Annual Budget
BP_202507_BU01_LATAM,2025-07-31,BU01,Latin America,USD,69.11,20.72,2.88,0.2727,4.6,-4.58,15.84,FY2025 Annual Budget
BP_202507_BU01_NA,2025-07-31,BU01,North America,USD,259.73,80.59,10.9,0.2463,17.3,-13.33,59.46,FY2025 Annual Budget
BP_202507_BU02_APAC,2025-07-31,BU02,Asia Pacific,USD,140.8,28.12,7.6,0.2256,9.09,9.57,4.83,FY2025 Annual Budget
BP_202507_BU02_EU,2025-07-31,BU02,Europe,USD,147.41,27.72,8.46,0.2586,9.52,12.04,1.18,FY2025 Annual Budget
BP_202507_BU02_LATAM,2025-07-31,BU02,Latin America,USD,70.14,13.1,3.93,0.271,4.53,5.65,0.43,FY2025 Annual Budget
BP_202507_BU02_NA,2025-07-31,BU02,North America,USD,227.33,44.01,12.76,0.2476,14.68,18.61,2.98,FY2025 Annual Budget
BP_202507_BU03_APAC,2025-07-31,BU03,Asia Pacific,USD,107.36,27.6,6.77,0.2262,8.69,1.08,13.12,FY2025 Annual Budget
BP_202507_BU03_EU,2025-07-31,BU03,Europe,USD,126.92,31.31,8.32,0.2575,10.28,2.02,13.09,FY2025 Annual Budget
BP_202507_BU03_LATAM,2025-07-31,BU03,Latin America,USD,42.01,10.25,2.68,0.2719,3.4,0.63,4.16,FY2025 Annual Budget
BP_202507_BU03_NA,2025-07-31,BU03,North America,USD,239.43,60.01,15.73,0.2484,19.39,4.07,25.55,FY2025 Annual Budget
